id,name,description,barcode,price,sale,imageurl,imagefilename,category,subcategory
1761,HYDRO BERAS SENTRA RAMOS 5 KG,HYDRO BERAS SENTRA RAMOS 5 KG,hprberas5kg,66080,59000,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/HYDRO-BERAS-SENTRA-RAMOS-5-KG.jpg,HYDRO-BERAS-SENTRA-RAMOS-5-KG.jpg,Bahan Pokok,Beras
1762,ROSE BRAND TEPUNG BERAS 500G,ROSE BRAND TEPUNG BERAS 500G,8993093115008,8550,7500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/Rose-Brand-Tepung-Beras-500g.jpg,Rose-Brand-Tepung-Beras-500g.jpg,Bahan Pokok,Tepung
1763,ROSE BRAND TEPUNG KETAN 500G,ROSE BRAND TEPUNG KETAN 500G,8993093135006,11742,10300,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/ROSE-BRAND-TEPUNG-KETAN-500G.jpg,ROSE-BRAND-TEPUNG-KETAN-500G.jpg,Bahan Pokok,Tepung
1764,RUMAH LIMAS BERAS SETRA RAMOS 5KG,RUMAH LIMAS BERAS SETRA RAMOS 5KG,8995184704726,71300,62000,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/RUMAH-LIMAS-BERAS-SETRA-RAMOS-5KG.jpg,RUMAH-LIMAS-BERAS-SETRA-RAMOS-5KG.jpg,Bahan Pokok,Beras
1765,SUN BUBUR KACANG HIJAU EKO SAC 120G,SUN BBR KCG HIJAU EKO SAC 120G,896865351506,6944,6200,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/SUN-BUBUR-KACANG-HIJAU-EKO-SAC-120G.jpg,SUN-BUBUR-KACANG-HIJAU-EKO-SAC-120G.jpg,Bahan Pokok,Beras
1766,SUN BERAS MERAH EKONOMIS SAC 120G,SUN BRS MRH EKONOMIS SAC 120G,896865350516,7130,6200,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/SUN-BUBUR-BERAS-MERAH-EKO-SAC-120G.jpg,SUN-BUBUR-BERAS-MERAH-EKO-SAC-120G.jpg,Bahan Pokok,Beras
1767,TOPI KOKI BERAS SLYP KUNING 5KG,TOPI KOKI BERAS SLYP KUNING 5KG,8995184704238,75710,67000,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/TOPI-KOKI-BERAS-SLYP-KUNING-5KG.jpg,TOPI-KOKI-BERAS-SLYP-KUNING-5KG.jpg,Bahan Pokok,Beras
1768,CAP SEMUT GULA MERAH 400GR,CAP SEMUT GULA MERAH 400GR,8994516101011,17214,15100,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/cap-semut.jpg,cap-semut.jpg,Bahan Pokok,Gula
1769,GULAKU GULA TEBU PREMIUM 1KG,GULAKU GULA TEBU PREMIUM 1KG,8995177101112,14375,12500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/GULAKU-GULA-TEBU-PREMIUM-1KG.jpg,GULAKU-GULA-TEBU-PREMIUM-1KG.jpg,Bahan Pokok,Gula
1770,GULAKU GULA TEBU PREMIUM 500GR,GULAKU GULA TEBU PREMIUM 500GR,8995177109996,7182,6300,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/GULAKU-GULA-TEBU-PREMIUM-1KG-1.jpg,GULAKU-GULA-TEBU-PREMIUM-1KG-1.jpg,Bahan Pokok,Gula
1771,GULAKU KUNING 1KG,GULAKU KUNING 1KG,8995177102058,14250,12500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/GULAKU-KUNING-1KG.jpg,GULAKU-KUNING-1KG.jpg,Bahan Pokok,Gula
1772,SUS GULA PASIR 1KG,SUS GULA PASIR 1KG,8995163400014,14250,12500,http://warung.koperasisyariahmun.id/wp-content/uploads/2017/05/SUS-GULA-PASIR-1KG.jpg,SUS-GULA-PASIR-1KG.jpg,Bahan Pokok,Gula
1773,SUS GULA PASIR LOKAL 500 GR,SUS GULA PASIR LOKAL 500 GR,8995163402100,8625,7500,,,Bahan Pokok,Gula
